127.0.0.1 - - [06/Feb/2018:10:51:47 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/img/bg_button_left.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/img/bg_button_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/img/bg_button.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/smart_editor2_inputarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/img/ko_KR/btn_set.png?130306 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/css/smart_editor2_in.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:53 +0900] "POST /JSPBoard/MainPage/main.do HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:34 +0900] "GET /JSPBoard/MainPage/main.do HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:36 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=50&bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:36 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:38 +0900] "GET /JSPBoard/MainPage/viewMenuContent.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6&bdId=50&menuTitle=%C4%C9%B8%AF%C5%CD HTTP/1.1" 200 745
